,,tygar,with memoize,,,,
Name,Query,Time (tygar),Time,speedup (ours vs theirs),,difference,
test,Bool -> a -> Maybe a,8.0,6.0,1.337815126,33.78%,-2.0,1
firstJust,a -> [Maybe a] -> a,18.4,6.5,2.824615385,182.46%,-11.9,0
mapEither,"(a -> Either b c) -> [a] -> ([b], [c])",4.8,3.2,1.49375,49.38%,-1.6,1
mapMaybes,(a -> Maybe b) -> [a] -> Maybe b,8.0,5.2,1.544230769,54.42%,-2.8,1
mergeEither,Either a (Either a b) -> Either a b,3.8,181.5,0.02077707357,-97.92%,177.7,0
map,(a->b)->[a]->[b],2.1,3.7,0.5564516129,-44.35%,1.7,0
repl-funcs,(a->b)->Int->[a->b],1.1,1.2,0.9411764706,-5.88%,0.1,0
mbAppFirst,b -> (a -> b) -> [a] -> b,3.2,9.5,0.3396226415,-66.04%,6.3,0
resolveEither,Either a b -> (a->b) -> b,4.0,10.3,0.3912621359,-60.87%,6.3,0
multiApp,(a -> b -> c) -> (a -> b) -> a -> c,6.9,9.6,0.7165271967,-28.35%,2.7,0
singleList,a -> [a],7.7,4.4,1.750566893,75.06%,-3.3,1
head-last,"[a] -> (a,a)",257.3,12.0,21.4093178,2040.93%,-245.3,1
firstMatch,[a] -> (a -> Bool) -> a,6.0,6.9,0.8728323699,-12.72%,0.9,0
rights,[Either a b] -> Either a [b],1.9,2.6,0.73046875,-26.95%,0.7,0
firstKey,"[(a,b)] -> a",1.5,3.4,0.4437869822,-55.62%,1.9,0
firstRight,[Either a b] -> Either a b,4.4,9.6,0.4634655532,-53.65%,5.1,0
zipWithResult,"(a->b)->[a]->[(a,b)]",268.1,10.8,24.87105751,2387.11%,-257.3,1
applyNtimes,(a->a) -> a -> Int -> a,30.2,18.0,1.675540765,67.55%,-12.2,1
mbElem,Eq a => a -> [a] -> Maybe a,3.7,295.6,0.01258414803,-98.74%,291.9,0
flatten,[[[a]]] -> [a],4.7,1.4,3.448529412,244.85%,-3.3,1
